ID,FECHA,PM10,TEMP,HUMEDAD,DIR VIENTO ,Monto V,Velocidad V,Tem/Hum,Tem/Hum/Vient,PRESION ATM,LLUVIA,Intens lluv,RADIACION SOL,Radiac acum,Max Rad,UV Intens,Max UV,DENSIDAD AIRE
1,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FEB,27.71,14.35,86.3,12.9,1.51,4.43,14.39,13.77,560.36,0.1,0.12,217.42,3.12,251.9,2.63,3.01,0.8771
3,MAR,20.42,13.9,82.75,10.2,2.07,3.76,13.83,13.46,563.85,0.01,0.12,183.08,2.62,217.23,2.04,2.36,0.8832
4,ABR,12.71,13.55,90.41,11.2,1.25,4.08,13.61,13.04,562.87,0.05,0.58,116.13,1.66,134.96,1.35,1.5,0.88
5,MAY,15.42,15.77,70.21,7.8,0.17,4.24,15.43,14.85,562.32,0,0,236.69,0.34,237.15,2.57,2.58,0.8737
6,JUN,18.75,16.49,74.26,9,0.12,3.16,16.35,16.11,562.42,0,0,185.08,0.27,185.5,1.85,1.86,0.8706
7,JUL,9.58,14.53,73.45,7.1,0.11,2.97,14.25,14.01,563.2,0,0,163.5,0.23,163.96,1.39,1.39,0.8838
8,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,OCT,15.89,13.2,81.25,6.54,0.65,3.76,13.08,12.54,559.11,0.01,0.13,143.78,1.03,163.77,1.94,2.19,0.88
11,NOV,21.73,13.13,87.45,7.72,0.58,3.41,13.17,12.64,559.68,0.01,0.12,192.68,1.38,207,2.43,2.59,0.88
12,DIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,FEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ABR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,MAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,JUN,22.08,13.62,75.85,7.5,1.6,4.6,13.37,12.6,562.73,0.01,0.14,159.49,2.29,194.51,1.83,2.16,0.88
19,JUL,22.2,13.84,72.15,4.56,3.28,8.66,13.5,11.13,562.31,0,0,187.53,2.69,233.62,1.98,2.43,0.88
20,AGO,12.81,13.75,58.45,3.23,2.76,7.02,13.38,11.34,562.68,0,0.01,147.97,2.12,178.07,1.71,2.06,0.88
